,13-Jan-2026
The Nifty witnessed an intraday movement of about 296.5 points.The closing index was 0.22 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 101636.97
, Traded Quantity (in Lakhs), 48038.86
, Number of Trades, 29941951
, Total Market Capitalisation (Rs. Crores), 46576776.68

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,BLACKBUCK,EQ,       657.75,                528045839.60,794894
,BLAL,EQ,       201.66,                  2750004.72,13600
,BLBLIMITED,EQ,        12.81,                  1368644.30,105428
,BLISSGVS,EQ,       162.49,                582126644.94,3533242
,BLKASHYAP,EQ,        46.72,                 14215377.25,300603
,BLS,EQ,       297.35,                207565092.25,693744
,BLSE,EQ,       175.18,                 20240700.18,115042
,BLUECHIP,BE,         2.92,                      584.00,200
,BLUECOAST,EQ,        29.35,                   237882.92,8034
,BLUEDART,EQ,      5405.50,                492460073.00,91086
,BLUEJET,EQ,       499.40,                115057816.10,227077
,BLUEPEBBLE,SM,       130.30,                  2774780.00,21200
,BLUESTARCO,EQ,      1793.20,                284145200.10,159533
,BLUESTONE,EQ,       475.75,                 62030627.40,130600
,BLUEWATER,SM,       145.00,                  4930000.00,34000
,BLUSPRING,EQ,        67.11,                 12748223.07,190752
,BMETRICS,SM,        39.95,                   279080.00,7200
,BMWVENTLTD,EQ,        50.74,                  8186454.66,160765
,BODALCHEM,EQ,        50.16,                  3049551.47,59855
,BOHRAIND,EQ,        16.66,                   369823.27,21136
,BOMDYEING,EQ,       122.18,                 63305725.81,515808
,BORANA,BE,       315.85,                 13269873.35,42328
,BOROLTD,EQ,       277.85,                  7265747.35,26111
,BORORENEW,EQ,       493.30,                 97805788.95,197435
,BOROSCI,EQ,       115.21,                  2693342.29,23325
,BOSCH-HCIL,EQ,      1433.70,                 13079080.50,9077
,BPL,EQ,        61.86,                  4482048.34,71487
,BRACEPORT,SM,        85.00,                   272000.00,3200
,BRIGADE,EQ,       855.95,                342986462.80,400819
,BRIGHOTEL,EQ,        66.65,                  2975556.71,44704
,BRNL,EQ,        20.74,                   752342.96,36116
,BROOKS,EQ,        71.47,                  3208913.25,44765
,BSE,EQ,      2832.00,              18961009036.70,6665428
,BSE500IETF,EQ,        39.70,                 13323186.07,336047
,BSHSL,EQ,        99.37,                  1080737.49,10780
,BSL,EQ,       139.83,                  1505548.18,10648
,BSLGOLDETF,EQ,       123.80,                 73394289.77,592737
,BSLNIFTY,EQ,        29.96,                 13924147.83,464225
,BSLSENETFG,EQ,        83.85,                   317399.54,3784
,BSOFT,EQ,       425.10,                332659969.55,790419
,BTML,EQ,         7.94,                   482851.16,60282
,BUILDPRO,BE,       733.40,                142083014.10,192767
,BUTTERFLY,EQ,       610.50,                  1136023.85,1860
,BVCL,EQ,        42.87,                  3963214.85,90197
,BYKE,EQ,        53.78,                 15863328.73,282203
,C2C,SM,       442.60,                  9329872.50,20850
,CADSYS,SM,        46.15,                   116850.00,2500
,CALSOFT,EQ,        14.95,                   239377.94,15859
,CALSOFTPP,E1,         4.63,                    60068.17,13779
,CAMLINFINE,EQ,       151.06,                 58791416.05,388656
,CAMPUS,EQ,       253.20,                 23777829.80,94009
,CAMS,EQ,       711.00,               1060407730.25,1503619
,CANARYS,SM,        28.40,                  1012000.00,36000
,CANFINHOME,EQ,       894.00,                106606642.90,119922
,CANHLIFE,EQ,       141.63,                236559069.53,1656553
,CANTABIL,EQ,       288.65,                 20725196.95,72278
,CAPACITE,EQ,       241.75,                 26577667.90,109530
,CAPILLARY,EQ,       670.30,                462938439.90,703845
,CAPINVIT,IV,        73.71,                 57596042.31,780775
,CAPITALSFB,EQ,       263.50,                  3308679.90,12548
,CAPLIPOINT,EQ,      1812.10,                 87243015.60,47882
,CAPTRUST,EQ,        12.83,                   519074.95,41307
,CARBORUNIV,EQ,       810.40,                 50766035.25,62660
,CARERATING,EQ,      1618.60,                 42271738.70,25946
,CARRARO,EQ,       527.35,                 21817502.95,41473
,CARTRADE,EQ,      2800.50,                445137019.10,160293
,CARYSIL,EQ,       794.45,                 29452971.20,36945
,CASHIETF,EQ,      1045.27,                114904084.52,109928
,CASTROLIND,EQ,       187.47,                189715998.11,1012946
,CCCL,BE,        17.15,                  2739860.77,155515
,CCHHL,EQ,        14.10,                   204028.06,14454
,CCL,EQ,       967.15,                186342438.30,194770
,CDSL,EQ,      1419.90,               1827500754.50,1288820
,CEATLTD,EQ,      3852.10,                485041516.20,127151
,CEDAAR,SM,        51.50,                   261000.00,5000
,CEIGALL,EQ,       276.00,                 79917616.35,290753
,CELEBRITY,EQ,         7.74,                   329436.84,42918
,CELLECOR,SM,        27.30,                  9881250.00,360000
,CELLO,EQ,       503.65,                 63162440.75,126019
,CELLPOINT,SM,        16.50,                    77940.00,4800
,CEMPRO,EQ,       685.10,                173996131.00,253462
,CENTENKA,EQ,       430.75,                  3475778.25,8106
,CENTEXT,BE,        21.79,                  1251616.52,57498
,CENTRALBK,EQ,        37.71,                192882597.47,5135152
,CENTRUM,EQ,        27.53,                  1471416.90,53612
,CENTUM,EQ,      2330.60,                212963620.90,92897
,CENTURYPLY,EQ,       765.45,                 45249338.75,58661
,CERA,EQ,      5074.50,                 77847878.50,15385
,CEREBRAINT,BZ,         6.68,                   337123.78,50634
,CESC,EQ,       160.10,                267143130.34,1655858
,CEWATER,EQ,       424.25,                  4480029.30,10552
,CGCL,EQ,       180.26,                160625901.14,884747
,CGRAPHICS,SM,       174.70,                  5789120.00,33600
,CHALET,EQ,       874.50,                 60435946.45,69047
,CHAMBLFERT,EQ,       443.05,                336336235.45,763564
,CHAMUNDA,SM,        48.75,                   432750.00,9000
,CHANDAN,SM,       297.00,                  5332960.00,17600
,CHAVDA,SM,       116.50,                   116500.00,1000
,CHEMBOND,EQ,       158.75,                  3019124.03,19216
,CHEMBONDCH,EQ,       144.74,                   585416.50,4002
,CHEMCON,EQ,       184.64,                  7144609.32,38435
,CHEMFAB,EQ,       415.15,                  7877895.40,18715
,CHEMICAL,EQ,        28.81,                  3863487.98,134133
,CHEMPLASTS,EQ,       278.15,               1796978814.20,6581617
,CHENNPETRO,EQ,       821.95,                716227121.75,880170
,CHETANA,SM,        51.05,                   492480.00,9600
,CHEVIOT,EQ,      1016.60,                   405967.10,400
,CHOICEGOLD,EQ,       139.73,                  4368672.18,31270
,CHOICEIN,EQ,       811.10,                228771738.60,281127
,CHOLAHLDNG,EQ,      1820.40,                103541662.50,56913
,CIEINDIA,EQ,       406.70,                 22286609.10,54969
,CIFCZC26A,N3,      1239.00,                    23541.00,19
,CIFL,EQ,        33.09,                  5438348.46,166585
,CIGNITITEC,EQ,      1684.00,                157648811.80,93973
,CINELINE,EQ,        83.40,                   404489.49,4810
,CINEVISTA,EQ,        16.90,                  1487092.35,87505
,CLASSICEIL,SM,        62.00,                   700880.00,11200
,CLEAN,EQ,       855.35,                 87116194.50,101518
,CLEDUCATE,EQ,        77.82,                  1671413.82,21531
,CLSEL,EQ,       254.20,                  9742988.65,38159
,CLSL,SM,        50.00,                  1229100.00,24000
,CMNL,SM,       110.80,                   747037.50,6750
,CMRSL,SM,        78.75,                   547720.00,7200
,CMSINFO,EQ,       334.35,                 88546770.75,265559
,CNL,EQ,       704.20,                  2679976.50,3853
,COASTCORP,BE,        43.56,                  1811933.21,41587
,COCHINSHIP,EQ,      1547.30,                860084684.50,551763
,COFFEEDAY,EQ,        33.27,                 25870813.47,771180
,COFORGE,EQ,      1708.50,               4132212245.80,2425785
,COHANCE,EQ,       447.95,                510277697.50,1139574
,COLPAL,EQ,      2106.70,                681960620.90,324283
,COMMOIETF,EQ,        96.37,                 12535825.96,130092
,COMPINFO,BZ,         1.52,                    32233.76,21342
,COMPUSOFT,EQ,        14.87,                   379150.26,25614
,COMSYN,BE,       147.39,                   354197.97,2416
,CONCOR,EQ,       517.50,                488249909.35,945349
,CONCORDBIO,EQ,      1352.10,                 71478189.60,52884
,CONFIPET,EQ,        33.98,                  9894227.22,290609
,CONNPLEX,SM,       262.85,                 11499400.00,43200
,CONS,EQ,       123.05,                  1008670.74,8205
,CONSOFINVT,EQ,       162.36,                   162156.46,999
,CONSUMBEES,EQ,       133.45,                  9423950.18,70560
,CONSUMER,EQ,        11.61,                  1487753.73,128072
,CONSUMIETF,EQ,       124.24,                  1380529.64,11135
,CONTROLPR,EQ,       667.50,                  8446684.90,12682
,COOLCAPS,SM,        67.20,                  4962312.50,73750
,CORALFINAC,EQ,        36.53,                  3693404.29,98682
,CORDSCABLE,EQ,       172.56,                  1732927.05,10072
,COROMANDEL,EQ,      2351.40,                466469580.30,199578
,CORONA,EQ,      1432.90,                230122996.20,161172
,COSMOFIRST,EQ,       643.15,                 24707337.55,38116
,COUNCODOS,EQ,         5.64,                   118797.61,20812
,CPCAP,EQ,       114.39,                  1309214.93,11393
,CPEDU,EQ,       242.85,                  2107196.50,8800
,CPPLUS,EQ,      1419.70,                142190821.70,99712
,CPS,ST,      1104.00,                   165600.00,150
,CPSEETF,EQ,        93.40,                114416571.11,1226348
,CRAFTSMAN,EQ,      7686.50,                196117553.50,25796
,CRAMC,EQ,       280.95,                195082919.95,689747
,CRAYONS,SM,        41.95,                   192000.00,5000
,CREATIVEYE,EQ,         6.97,                    29144.55,4184
,CREDITACC,EQ,      1288.70,                421056225.70,325026
,CREST,EQ,       376.40,                   411578.65,1089
,CRISIL,EQ,      4815.60,                331990167.00,68866
,CRIZAC,EQ,       258.90,                 32504089.55,125566
,CROMPTON,EQ,       252.80,                567428353.05,2258568
,CROWN,EQ,       118.29,                   692168.16,5770
,CSBBANK,EQ,       518.75,                599788006.60,1156059
,CSLFINANCE,EQ,       288.40,                  1061785.70,3632
,CSSL,SM,       144.70,                 11570350.00,79000
,CTE,EQ,        34.47,                   802086.62,22692
,CUB,EQ,       277.20,                961907700.70,3510711
,CUBEXTUB,EQ,       112.02,                 22672877.96,202474
,CUMMINSIND,EQ,      3977.80,               2745596537.10,693509
,CUPID,EQ,       438.85,               5445286541.00,12417088
,CURAA,BE,       104.27,                    77710.81,776
,CURIS,SM,       123.05,                  2719000.00,22000
,CYBERMEDIA,EQ,        15.89,                   206202.15,12948
,CYBERTECH,EQ,       134.51,                  4368021.45,31904
,CYIENT,EQ,      1175.00,                208308192.10,177933
,CYIENTDLM,EQ,       399.85,                 73740657.10,183217
,DABUR,EQ,       522.05,                671684290.95,1288670
,DALBHARAT,EQ,      2105.50,                753807716.40,359192
,DALMIASUG,EQ,       278.80,                  6146740.70,21950
,DAMCAPITAL,EQ,       208.22,                 51731704.17,248534
,DAMODARIND,EQ,        29.57,                    37467.83,1274
,DANGEE,EQ,         3.48,                    85500.29,24612
,DANISH,SM,       656.50,                 11848627.50,18150
,DATAMATICS,EQ,       735.70,                 27220026.80,36891
,DATAPATTNS,EQ,      2591.50,                457773112.00,175798
,DAVANGERE,EQ,         4.89,                314144708.24,65643210
,DBCORP,EQ,       244.60,                  5520134.75,22518
,DBEIL,EQ,       103.83,                  4215020.50,40268
,DBL,EQ,       470.80,                128447182.05,273464
,DBOL,EQ,        79.20,                  8188171.59,104185
,DBREALTY,EQ,       109.54,                 73696361.68,671527
,DBSTOCKBRO,EQ,        24.91,                    42316.14,1706
,DCAL,EQ,       263.33,                 39164179.80,149668
,DCBBANK,EQ,       184.44,                860147842.17,4686913
,DCCL,SM,        43.95,                  3443200.00,78000
,DCG,SM,        64.50,                   615060.00,9600
,DCI,EQ,       242.60,                  1305072.71,5415
,DCM,EQ,        87.70,                  2391417.80,27217
,DCMFINSERV,EQ,         4.82,                    72493.48,14738
,DCMNVL,EQ,       128.59,                   429501.71,3311
,DCMSHRIRAM,EQ,      1179.20,                 30253572.90,25575
,DCMSRIND,EQ,        45.51,                  5804574.08,126726
,DCW,EQ,        53.79,                 32241785.24,594897
,DCXINDIA,EQ,       179.52,                 51234920.96,282128
,DDEVPLSTIK,EQ,       282.25,                 17062739.90,59974
,DECCANCE,EQ,       682.70,                 13180523.50,19238
,DECCANTRAN,SM,        22.90,                   242520.00,10800
,DEEDEV,EQ,       213.39,                 38757381.98,179603
,DEEM,SM,        46.75,                   469250.00,10000
,DEEPAKFERT,EQ,      1224.50,                244674259.80,199904
,DEEPAKNTR,EQ,      1571.20,                106504884.00,67328
,DEEPINDS,EQ,       378.00,                 65852716.90,170422
,DELAPLEX,SM,       131.00,                  1016310.00,7800
,DELHIVERY,EQ,       396.85,                684900442.25,1735186
,DELPHIFX,EQ,       244.31,                 10378235.24,42866
,DELTACORP,EQ,        69.32,                286921540.58,4105393
,DELTAMAGNT,EQ,        67.18,                   139753.19,2084
,DELTIC,SM,        45.45,                   669850.00,15000
,DEN,EQ,        30.55,                 13672685.09,448165
,DENEERS,SM,       163.40,                  2471280.00,15000
,DENORA,EQ,       645.05,                  1489245.85,2299
,DENTA,EQ,       308.90,                 26468618.70,86251
,DENTALKART,SM,       580.00,                  2733562.50,4750
,DEVIT,EQ,        33.22,                  3349500.57,98835
,DEVX,EQ,        39.04,                 13780553.08,352635
,DEVYANI,EQ,       134.92,                136637427.75,1016959
,DGCONTENT,EQ,        32.36,                   214682.34,6637
,DHAMPURSUG,EQ,       118.52,                 11797155.61,99670
,DHANBANK,EQ,        24.87,                 38076237.50,1541206
,DHANUKA,EQ,      1071.20,                 31879221.70,29563
,DHARAN,BZ,         0.22,                  4303234.00,19717172
,DHARARAIL,ST,       125.65,                  4535700.00,36000
,DHARIWAL,ST,       336.85,                  2174310.00,6600
,DHARMAJ,EQ,       237.81,                 11215579.25,47180
,DHRUV,EQ,        44.95,                   400803.57,8906
,DHTL,ST,        65.95,                    52760.00,800
,DHUNINV,EQ,      1136.60,                   323727.80,283
,DIACABS,EQ,       131.54,                210240541.12,1586410
,DIAMINESQ,EQ,       258.20,                   999899.95,3864
,DIAMONDYD,EQ,      1151.50,                109782160.60,96905
,DICIND,EQ,       463.45,                   139395.90,299
,DIFFNKG,EQ,       301.75,                 15467468.45,51676
,DIGIDRIVE,EQ,        26.23,                   891203.71,33908
,DIGIKORE,SM,        71.90,                  1019060.00,14800
,DIGISPICE,EQ,        22.66,                  1408953.88,62024
,DIGITIDE,EQ,       123.09,                 61695436.81,503996
,DIGJAMLMTD,EQ,        49.92,                   149149.69,3002
,DIL,BZ,         1.67,                   155405.44,93384
,DISHTV,EQ,         3.82,                 14773527.02,3834504
,DIVGIITTS,EQ,       587.50,                  2446084.70,4131
,DIVIDEND,EQ,        36.38,                   249319.11,6871
,DIVINEHIRA,ST,       240.00,                  1912320.00,8000
,DIVOPPBEES,EQ,        82.69,                  3407876.65,41290
,DIVYADHAN,SM,        24.40,                   439200.00,18000
,DIXON,EQ,     11238.00,              14053867412.00,1231297
,DJML,EQ,        70.20,                  7544258.22,107888
,DLINKINDIA,EQ,       409.95,                 37785052.95,93710
,DMCC,EQ,       231.05,                  3878797.65,16669
,DNAMEDIA,EQ,         3.72,                   259194.27,71687
,DODLA,EQ,      1219.60,                 26796381.10,22102
,DOLATALGO,EQ,        87.79,                 14703591.66,166463
,DOLLAR,EQ,       333.65,                  7012653.55,20946
,DOLLEX,SM,        39.50,                   158000.00,4000
,DOLPHIN,EQ,       446.10,                  2711732.20,6006
,DOMS,EQ,      2452.60,                 40252716.10,16363
,DONEAR,EQ,        88.85,                  1189681.57,13475
,DPABHUSHAN,EQ,      1426.50,                 20791724.10,14510
,DPEL,ST,       311.20,                   466800.00,1500
,DPSCLTD,EQ,         9.31,                   971153.57,104706
,DPWIRES,EQ,       187.87,                  2910443.61,15479
,DRCSYSTEMS,EQ,        16.77,                   518564.07,30685
,DREAMFOLKS,EQ,       101.92,                 10282093.57,100119
,DREDGECORP,EQ,      1105.00,               2898199747.85,2672878
,DRONE,SM,        57.50,                  2877400.00,49000
,DRSCARGO,ST,        39.30,                    31440.00,800
,DSSL,EQ,      1019.00,                 42606010.30,41788
,DTIL,EQ,       150.40,                  1149381.18,7610
,DUCOL,SM,       144.80,                   809640.00,5600
,DUCON,EQ,         3.16,                  1205096.29,373812
,DUGLOBAL,SM,        29.00,                   804125.00,27500
,DURLAX,SM,        40.00,                   161800.00,4000
,DVL,EQ,       270.80,                  2449153.55,9019
,DWARKESH,EQ,        34.70,                 10698250.70,307196
,DYCL,EQ,       310.65,                 23626985.75,75745
,DYNAMATECH,EQ,      9062.50,                108017892.00,11912
,DYNAMIC,SM,       140.45,                  1657225.00,12000
,DYNPRO,EQ,       227.75,                  5901359.70,25545
,E2E,EQ,      1987.80,                 99278392.60,49426
,E2ERAIL,ST,       295.00,                 20846320.00,71200
,EASEMYTRIP,EQ,         7.09,                 47697857.24,6737113
,EBANKNIFTY,EQ,        60.09,                  5040159.45,83871
,EBBETF0430,EQ,      1563.10,                 17853727.97,11429
,EBBETF0431,EQ,      1396.71,                  6876930.13,4919
,EBBETF0433,EQ,      1275.80,                  6034248.77,4735
,EBGNG,EQ,       285.00,                 33285295.25,116939
,ECAPINSURE,EQ,        23.92,                  1147186.43,47946
,ECLERX,EQ,      4594.20,                103319181.80,22467
,ECOLINE,SM,       132.00,                   132000.00,1000
,ECOSMOBLTY,EQ,       187.80,                 11868751.19,62856
,EDELWEISS,EQ,       104.45,                335428718.10,3201172
,EEPL,SM,       167.75,                 18697450.00,110000
,EFACTOR,ST,       329.40,                   131760.00,400
,EFCIL,EQ,       286.15,                 29731925.00,104413
,EFFWA,SM,       210.45,                  3199820.00,15200
,EFORCE,SM,        31.80,                   334440.00,10800
,EGOLD,EQ,       140.80,                247381223.35,1757410
,EIDPARRY,EQ,       942.50,                115603400.20,122523
,EIEL,EQ,       189.32,                180377713.63,944633
,EIFFL,EQ,       280.15,                111695164.65,395430
,EIHAHOTELS,EQ,       338.20,                  4744575.40,13965
,EIHOTEL,EQ,       346.30,                 56385269.65,163386
,EIMCOELECO,EQ,      1556.80,                161678570.10,105236
,EKC,EQ,       109.46,                 13716591.95,124548
,ELDEHSG,EQ,       904.65,                   382631.10,419
,ELECON,EQ,       400.60,                712838401.20,1760588
,ELECTCAST,EQ,        70.32,                 54429709.65,772751
,ELECTHERM,EQ,       881.10,                 25824132.85,29399
,ELGIEQUIP,EQ,       440.20,                 98645316.25,223622
,ELGIRUBCO,EQ,        42.65,                   631655.60,14781
,ELGNZ,SM,        82.50,                  1696350.00,21000
,ELIN,EQ,       148.65,                  4322160.91,29245
,ELIQUID,EQ,      1014.37,                  2028740.00,2000
,ELLEN,EQ,       281.05,                 26727720.05,94807
,ELM250,EQ,        16.59,                 25203086.82,1518324
,EMAMILTD,EQ,       510.55,                212617993.90,418627
,EMAMIPAP,EQ,        82.64,                   507603.07,6074
,EMAMIREAL,EQ,        77.24,                   681539.27,8902
,EMAPARTNER,SM,        91.60,                   264500.00,3000
,EMBASSY,RR,       440.79,                364307515.86,828798
,EMBDL,BE,        71.96,                214928000.26,2998701
,EMCURE,EQ,      1550.60,                739795706.60,480362
,EMIL,EQ,        98.65,                110237048.99,1123945
,EMKAY,EQ,       264.40,                  2758911.15,10381
,EMKAYTOOLS,SM,       111.00,                   166950.00,1500
,EMMBI,EQ,        94.10,                  1803294.33,18989
,EMMIL,SM,       176.50,                   438150.00,2500
,EMMVEE,EQ,       212.08,               1045921032.15,4885863
,EMSLIMITED,EQ,       387.60,                 45208204.55,115972
,EMUDHRA,EQ,       560.60,                 63221208.35,114560
,EMULTIMQ,EQ,        41.18,                  4832776.20,117473
,ENCOMPAS,SM,       219.00,                 11012280.00,51600
,ENDURANCE,EQ,      2587.80,                187602961.30,73122
,ENERGY,EQ,        34.42,                 34800476.48,1010022
,ENERGYDEV,BE,        18.28,                   426528.83,23274
,ENGINERSIN,EQ,       193.88,                177362915.49,910656
,ENIFTY,EQ,        25.67,                    80533.21,3142
,ENIL,EQ,       118.01,                  1351410.10,11489
,ENSER,SM,        15.45,                    77250.00,5000
,ENTERO,EQ,      1223.70,                244138818.60,198227
,ENVIRO,SM,       114.85,                  2501550.00,22000
,EPACK,EQ,       272.15,                 86049564.65,317699
,EPACKPEB,EQ,       249.65,                119189200.80,475525
,EPIGRAL,EQ,      1161.50,                 58467058.00,50751
,EPL,EQ,       205.99,                 65514128.77,318149
,EPWINDIA,SM,       108.50,                  7534860.00,67200
,EQUAL200,EQ,        13.29,                   256742.41,19299
,EQUAL50,EQ,       332.55,                    66952.93,201
,EQUAL50ADD,EQ,       344.47,                  3658828.24,10655
,EQUIPPP,BE,        20.50,                   301210.37,14878
,EQUITASBNK,EQ,        68.01,                474597604.16,7018588
,ERIS,EQ,      1477.10,                 72373780.70,48910
,ESABINDIA,EQ,      5628.00,                 17887582.00,3196
,ESAFSFB,EQ,        25.79,                  7244902.79,282086
,ESCONET,SM,       115.65,                  6588160.00,56400
,ESCORTS,EQ,      3722.60,                191419993.50,51332
,ESENSEX,EQ,        83.78,                   383458.00,4593
,ESFL,SM,       147.60,                  9254322.00,63000
,ESG,EQ,        43.95,                  1299180.55,29560
,ESILVER,EQ,       260.49,                 70489908.18,270837
,ESPRIT,SM,        75.50,                  1446720.00,19200
,ESSARSHPNG,BE,        24.79,                  2117068.63,85131
,ESSENTIA,EQ,         1.45,                  2037548.73,1406206
,ESTER,EQ,        94.84,                  2636085.10,27717
,ETHOSLTD,EQ,      2710.80,                 58612135.60,21631
,ETL,SM,       820.00,                   873757.50,1050
,ETML,SM,       101.00,                   613680.00,6000
,EUREKAFORB,EQ,       569.80,                 37152169.55,65146
,EUROBOND,EQ,       177.41,                  2524882.73,14321
,EUROPRATIK,EQ,       278.05,                  8760295.00,31644
,EUROTEXIND,BE,        12.60,                    24246.34,1824
,EVEREADY,EQ,       328.85,                 10202695.20,31143
,EVERESTIND,EQ,       441.10,                  3017943.80,6806
,EVIETF,EQ,        31.01,                  4715477.10,152390
,EVINDIA,EQ,        30.98,                  4655200.63,150266
,EXCEL,EQ,         1.31,                  9125246.36,6928977
,EXCELINDUS,EQ,       931.65,                  4956169.75,5382
,EXCELSOFT,EQ,        82.45,                 76974918.71,927312
,EXICOM,EQ,       105.43,                 16139755.79,152777
,EXIDEIND,EQ,       346.00,                317602084.65,917928
,EXIMROUTES,ST,       245.70,                  5128480.00,20800
,EXPLEOSOL,EQ,       935.25,                  6815166.35,7226
,EXXARO,BE,         7.62,                   510554.36,66783
,FABTECH,EQ,       189.06,                 45346915.92,241002
,FACT,EQ,       868.05,                 55627987.35,63850
,FAIRCHEMOR,EQ,       709.65,                  4711771.75,6607
,FALCONTECH,SM,        15.65,                    74820.00,4800
,FAZE3Q,EQ,       369.55,                129257143.75,339445
,FCL,EQ,        23.12,                 42734436.51,1829018
,FCSSOFT,EQ,         1.74,                  2694608.62,1550132
,FDC,EQ,       391.55,                 23890431.10,60672
,FEDERALBNK,EQ,       249.30,               3008569683.90,12045490
,FEDFINA,EQ,       162.10,                189960628.90,1165542
,FEL,BZ,         0.46,                    51850.39,111648
,FELDVR,BZ,         3.10,                     8568.20,2733
,FELIX,SM,       184.55,                  4144100.00,22500
,FIBERWEB,EQ,        33.04,                   246453.76,7412
,FIDEL,SM,       139.00,                  1089950.00,8000
,FIEMIND,EQ,      2255.70,                173794883.30,76355
,FILATEX,EQ,        45.86,                 15223486.53,330510
,FILATFASH,EQ,         0.30,                 14304732.74,47146472
,FINBUD,SM,       127.50,                  1361350.00,11000
,FINCABLES,EQ,       761.85,                118735493.55,156209
,FINEORG,EQ,      4209.80,                 23198855.90,5519
,FINIETF,EQ,        32.17,                 10482947.83,326225
,FINKURVE,EQ,        95.45,                   668825.89,6939
,FINOPB,EQ,       240.20,                 26240852.05,109975
,FINPIPE,EQ,       174.01,                 27856306.50,160436
,FIRSTCRY,EQ,       269.10,                223786966.05,827239
,FISCHER,EQ,        40.07,                156816042.59,4104118
,FIVESTAR,EQ,       518.20,                347903397.25,676054
,FLAIR,EQ,       318.00,                 33691577.50,105703
,FLEXIADD,EQ,        10.59,                  1664011.18,157311
,FLEXITUFF,EQ,        11.97,                   228047.21,18883
,FLFL,BZ,         1.50,                    13434.10,9004
,FLUOROCHEM,EQ,      3454.50,                195954888.80,56594
,FLYSBS,SM,       459.70,                 56771230.00,123200
,FMCGIETF,EQ,        56.30,                209237948.52,3715369
,FMGOETZE,EQ,       446.85,                  8580459.75,19161
,FMNL,EQ,         8.25,                   275729.71,33277
,FOCE,SM,      1775.00,                  3147995.00,1800
,FOCUS,EQ,        72.60,                  2924456.06,39868
,FONEBOX,ST,        90.00,                    90000.00,1000
,FOODSIN,EQ,        64.48,                  1457249.59,22465
,FORCAS,SM,       119.15,                  6641360.00,56000
,FORCEMOT,EQ,     20095.00,               1533394725.00,76380
,FORTIS,EQ,       908.00,                879526324.50,978014
,FOSECOIND,EQ,      4711.40,                  2712830.20,575
,FRESHARA,SM,       164.05,                  5356050.00,32400
,FROG,SM,       144.00,                   811760.00,5600
,FSL,EQ,       322.05,                455704610.05,1438351
,FUSION,EQ,       165.13,                109642043.01,662151
,GABRIEL,EQ,       952.60,                318872079.50,335754
,GAEL,EQ,       138.07,                208089541.82,1485647
,GALAPREC,EQ,       735.90,                  5667890.60,7706
,GALAXYSURF,EQ,      1874.50,                 30487539.90,16233
,GALLANTT,EQ,       557.95,                 21550402.80,38546
,GANDHAR,EQ,       161.69,                318928394.03,2016533
,GANDHITUBE,EQ,       751.05,                  1997154.40,2648
,GANECOS,EQ,       776.80,                 28421251.10,36264
,GANESHBE,EQ,        78.33,                  4993478.86,64277
,GANESHCP,EQ,       209.33,                  8099409.91,39108
,GANESHHOU,EQ,       766.75,                 86424320.90,115756
,GANESHIN,SM,       107.85,                 24096840.00,220000
,GANGABATH,SM,        20.40,                   361200.00,18000
,GANGAFORGE,EQ,         3.33,                  1936989.81,572602
,GANGESSECU,EQ,       126.55,                   236166.78,1839
,GARFIBRES,EQ,       644.45,                 20142758.40,31112
,GARUDA,EQ,       194.70,               6616873432.47,35205238
,GATECH,EQ,         0.52,                  1307129.96,2487848
,GATECHDVR,EQ,         0.48,                   309176.14,638958
,GATEWAY,EQ,        56.28,                 48705024.97,861708
,GAYAHWS,BE,         2.68,                   602923.77,223283
,GCHOTELS,SM,       151.75,                   549300.00,3600
,GCSL,BE,       324.50,                   272086.75,837
,GEECEE,EQ,       312.70,                   143063.00,460
,GEEKAYWIRE,EQ,        31.23,                  1376130.15,43559
,GEMAROMA,EQ,       150.43,                 12641999.79,83333
,GENCON,EQ,        44.53,                 11190502.18,252876
,GENESYS,EQ,       379.70,                258349799.60,670641
,GENSOL,BZ,        23.75,                  1671357.37,69110
,GENUSPAPER,EQ,        13.04,                   965210.36,73904
,GENUSPOWER,EQ,       269.55,                185353491.60,674444
,GEOJITFSL,EQ,        72.88,                 39731195.65,543711
,GESHIP,EQ,      1106.30,                399361020.40,362341
,GFLLIMITED,EQ,        54.68,                  2527456.98,45817
,GGBL,SM,       284.25,                  4565205.00,15900
,GHCL,EQ,       549.00,                 19272188.60,35018
,GHCLTEXTIL,EQ,        74.21,                  9321267.70,126237
,GICHSGFIN,EQ,       169.37,                  8623693.95,51115
,GICL,ST,        43.50,                  4270350.00,99000
,GICRE,EQ,       366.55,                101563458.75,274802
,GILLANDERS,EQ,       101.85,                   160213.05,1573
,GILLETTE,EQ,      8094.00,                247482069.50,30732
,GILT10BETA,EQ,        26.33,                   143883.24,5458
,GILT5BETA,EQ,        63.13,                    29877.86,473
,GILT5YBEES,EQ,        63.49,                 12839906.00,202039
,GINNIFILA,EQ,        40.42,                  2150986.01,53268
,GIPCL,EQ,       143.45,                 32758309.61,226974
,GKENERGY,EQ,       141.36,                 33028265.48,229305
,GKSL,EQ,       104.81,                155926024.49,1490251
,GKWLIMITED,EQ,      1700.00,                   232512.20,137
,GLAND,EQ,      1719.20,                 68780772.60,40146
,GLAXO,EQ,      2369.10,                139066642.40,58611
