,13-Jan-2026
The Nifty witnessed an intraday movement of about 296.5 points.The closing index was 0.22 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 101636.97
, Traded Quantity (in Lakhs), 48038.86
, Number of Trades, 29941951
, Total Market Capitalisation (Rs. Crores), 46576776.68

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,NIFTY HEALTHCARE,     14616.95,     14641.40,     14658.15,     14465.05,     14591.80,-25.15
,NIFTY CONSR DURBL,     37506.00,     37598.65,     37711.60,     36947.80,     37173.55,-332.45
,NIFTY OIL AND GAS,     11692.10,     11734.55,     11744.90,     11584.75,     11652.75,-39.35
,NIFTY500 MULTICAP,     16177.80,     16242.40,     16274.90,     16074.05,     16179.15,1.35
,NIFTY LARGEMID250,     16626.00,     16690.00,     16716.80,     16482.70,     16595.45,-30.55
,NIFTY MID SELECT,     13696.95,     13750.80,     13775.60,     13529.60,     13649.25,-47.70
,NIFTY TOTAL MKT,     13180.35,     13232.75,     13247.80,     13085.60,     13165.95,-14.40
,NIFTY MICROCAP250,     21705.60,     21801.30,     21910.25,     21674.75,     21781.70,76.10
,NIFTY IND DIGITAL,      9293.65,      9340.50,      9376.70,      9259.90,      9335.60,41.95
,Nifty Tata 25 Cap,     15328.35,     15343.85,     15406.60,     15196.00,     15286.05,-42.30
,Nifty MidSml Hlth,     43557.95,     43684.50,     43845.40,     43136.65,     43618.80,60.85
,Nifty Multi Mfg,     15738.40,     15789.75,     15806.70,     15549.15,     15663.70,-74.70
,Nifty Multi Infra,     14016.95,     14048.85,     14058.30,     13811.25,     13909.30,-107.65
,BHARATBOND-APR30,      1564.12,      1564.43,      1564.43,      1564.05,      1564.05,-0.07
,BHARATBOND-APR31,      1424.10,      1424.37,      1424.37,      1423.41,      1423.41,-0.69
,BHARATBOND-APR32,      1296.48,      1296.73,      1296.73,      1296.41,      1296.41,-0.07
,BHARATBOND-APR33,      1258.83,      1259.08,      1259.08,      1259.07,      1259.07,0.24
,Nifty Ind Defence,      7908.15,      7930.15,      7969.70,      7754.90,      7821.70,-86.45
,Nifty Ind Tourism,      8129.30,      8143.60,      8168.95,      8037.60,      8082.70,-46.60
,Nifty Capital Mkt,      4610.40,      4636.15,      4688.80,      4616.45,      4672.00,61.60
,Nifty500Momentm50,     51870.90,     52077.25,     52225.80,     51453.90,     51901.85,30.95
,NiftyMS400 MQ 100,     46711.50,     46917.95,     47128.05,     46381.40,     46794.25,82.75
,NiftySml250MQ 100,     42505.30,     42665.15,     42911.20,     42512.85,     42856.20,350.90
,Nifty Top 10 EW,      9750.85,      9785.10,      9789.95,      9659.25,      9699.75,-51.10
,Nifty AQL 30,     22781.70,     22834.35,     22892.65,     22613.80,     22752.45,-29.25
,Nifty AQLV 30,     21264.40,     21332.75,     21357.30,     21097.50,     21212.30,-52.10
,Nifty EV,      3096.75,      3107.75,      3115.95,      3066.55,      3090.05,-6.70
,Nifty HighBeta 50,      3895.70,      3914.95,      3929.25,      3849.75,      3888.55,-7.15
,Nifty New Consump,     11636.05,     11680.35,     11717.80,     11509.20,     11600.85,-35.20
,Nifty Corp MAATR,     38467.00,     38579.60,     38603.30,     38050.60,     38284.60,-182.40
,Nifty Low Vol 50,     25632.55,     25674.45,     25724.80,     25430.60,     25571.50,-61.05
,Nifty Mobility,     22756.65,     22843.70,     22919.75,     22540.05,     22711.60,-45.05
,Nifty Qlty LV 30,     17593.80,     17652.55,     17676.30,     17480.50,     17570.75,-23.05
,Nifty Sml250 Q50,     24795.90,     24857.20,     24978.40,     24732.45,     24897.70,101.80
,Nifty Top 15 EW,     10853.80,     10896.70,     10896.70,     10754.65,     10808.05,-45.75
,Nifty100 Alpha 30,     18003.35,     18043.40,     18064.80,     17801.10,     17927.55,-75.80
,Nifty100 Enh ESG,      5212.35,      5232.90,      5241.05,      5182.05,      5214.40,2.05
,Nifty200 Value 30,     14702.30,     14759.60,     14780.65,     14624.35,     14741.95,39.65
,Nifty500 EW,     13896.45,     13949.70,     14006.00,     13823.65,     13917.35,20.90
